$,$,$
Manuel&Saverio,4734,23
Manuel&Saverio,6869,27
Manuel&Saverio,5514,6
Manuel&Saverio,6496,14
Manuel&Saverio,5520,46
Manuel&Saverio,4657,4
Manuel&Saverio,7078,75
Manuel&Saverio,6503,1
Manuel&Saverio,6783,1
Manuel&Saverio,5761,5
Manuel&Saverio,6666,15
Manuel&Saverio,5559,101
Manuel&Saverio,5792,79
Manuel&Saverio,4287,6
Manuel&Saverio,6530,8
Manuel&Saverio,6435,40
Manuel&Saverio,5585,432
Manuel&Saverio,7351,75
Manuel&Saverio,6229,51
Manuel&Saverio,7347,11
$,$,$
GianPaolo&Luca,6966,101
GianPaolo&Luca,7301,1
GianPaolo&Luca,6662,5
GianPaolo&Luca,6485,20
GianPaolo&Luca,4409,39
GianPaolo&Luca,2514,26
GianPaolo&Luca,4433,10
GianPaolo&Luca,6642,1
GianPaolo&Luca,6727,30
GianPaolo&Luca,6189,1
GianPaolo&Luca,4845,1
GianPaolo&Luca,7556,57
GianPaolo&Luca,6294,5
GianPaolo&Luca,2167,148
GianPaolo&Luca,5844,10
GianPaolo&Luca,5888,5
GianPaolo&Luca,2517,97
GianPaolo&Luca,7551,1
GianPaolo&Luca,5422,1
GianPaolo&Luca,6052,304
GianPaolo&Luca,6215,1
GianPaolo&Luca,2137,102
GianPaolo&Luca,7071,74
GianPaolo&Luca,2155,36
GianPaolo&Luca,7001,2
$,$,$
